name,SMILES,core_type,substituent_pattern,MW,fosc,DEST_dDFT,DEST_corrected_linear,DEST_corrected_shift,FM_linear,FM_shift,status,prior_invest_flag_ddft,prior_invest_flag_od,od_eV,adc2_DEST_eV,adc2_fosc_S1,adc2_evidence,scscc2_DEST_eV,scscc2_fosc_S1,evidence_level,display_status,evidence_notes
5AP_Cz_OMe,COc1nc2nc3nccnc3nc2nc1-n1c2ccccc2c2ccccc21,5AP,Cz_OMe,379.380000,0.000584,0.225900,-0.088483,-0.045367,0.000052,0.000026,complete,true,false,-2.7960,,,,,,screening_invest_candidate,screening-only,ΔDFT-corr<-0.05
5AP_Cz_Ph,c1ccc(-c2nc3nc4nccnc4nc3nc2-n2c3ccccc3c3ccccc32)cc1,5AP,Cz_Ph,425.460000,0.000040,0.200600,-0.102400,-0.070667,0.000004,0.000003,complete,true,false,-2.9252,,,,,,screening_invest_candidate,screening-only,ΔDFT-corr<-0.05
5AP_CF3_CN,N#Cc1nc2nc3nccnc3nc2nc1C(F)(F)F,5AP,CF3_CN,277.170000,0.000016,0.204900,-0.100035,-0.066367,0.000002,0.000001,complete,true,false,-2.8950,,,,,,screening_invest_candidate,screening-only,ΔDFT-corr<-0.05
5AP_CF3_Me,Cc1nc2nc3nccnc3nc2nc1C(F)(F)F,5AP,CF3_Me,266.190000,0.000024,0.208800,-0.097890,-0.062467,0.000002,0.000001,complete,true,true,-3.2903,,,,,,multi_screen_invest_candidate,screening-only,ΔDFT-corr<-0.05; KS-OD INVEST
5AP_CF3_OMe,COc1nc2nc3nccnc3nc2nc1C(F)(F)F,5AP,CF3_OMe,282.190000,0.000018,0.203200,-0.100970,-0.068067,0.000002,0.000001,complete,true,true,-3.5599,,,,,,multi_screen_invest_candidate,screening-only,ΔDFT-corr<-0.05; KS-OD INVEST
5AP_CF3_Ph,FC(F)(F)c1nc2nc3nccnc3nc2nc1-c1ccccc1,5AP,CF3_Ph,328.260000,0.000024,0.208900,-0.097835,-0.062367,0.000002,0.000001,complete,true,true,-3.4805,,,,,,multi_screen_invest_candidate,screening-only,ΔDFT-corr<-0.05; KS-OD INVEST
5AP_CN_Me,Cc1nc2nc3nccnc3nc2nc1C#N,5AP,CN_Me,223.200000,0.000018,0.201700,-0.101795,-0.069567,0.000002,0.000001,complete,true,true,-3.3235,,,,,,multi_screen_invest_candidate,screening-only,ΔDFT-corr<-0.05; KS-OD INVEST
5AP_CN_OMe,COc1nc2nc3nccnc3nc2nc1C#N,5AP,CN_OMe,239.200000,0.000014,0.193200,-0.106471,-0.078067,0.000001,0.000001,complete,true,true,-3.6999,,,,,,multi_screen_invest_candidate,screening-only,ΔDFT-corr<-0.05; KS-OD INVEST
5AP_CN_Ph,N#Cc1nc2nc3nccnc3nc2nc1-c1ccccc1,5AP,CN_Ph,285.270000,0.000019,0.200400,-0.102510,-0.070867,0.000002,0.000001,complete,true,true,-3.4142,,,,,,multi_screen_invest_candidate,screening-only,ΔDFT-corr<-0.05; KS-OD INVEST
5AP_Me_OMe,COc1nc2nc3nccnc3nc2nc1C,5AP,Me_OMe,228.220000,0.000023,0.205500,-0.099705,-0.065767,0.000002,0.000002,complete,true,true,-3.8983,,,,,,multi_screen_invest_candidate,screening-only,ΔDFT-corr<-0.05; KS-OD INVEST
