mol_id,smiles,scaffold_family,source_domain,split_group,adc2_s1_ev,adc2_t1_ev,adc2_dest_ev,adc2_fosc,adc2_available,scscc2_s1_ev,scscc2_t1_ev,scscc2_dest_ev,dft_dest_raw_ev,dft_dest_calibrated_ev,fosc_dft,homo_ev,lumo_ev,hl_gap_ev,homo_m1_ev,lumo_p1_ev,od_index,is_invest,is_near_zero,is_high_fosc
S131,CN(C)C1=CC2=CC=CC3=CC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,1.3395,1.4817,-0.1422,0.0033,True,,,,,,,,,,,,,True,False,False
S132,CN(C)C1=CC=C2C=CC=C3C=CC=C1N23,pollice_heptazine_deriv,pollice,source,1.0046,1.1596,-0.155,0.0001,True,,,,,,,,,,,,,True,False,False
S133,CC(=O)C1=CC2=CC=CC3=CC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,0.8484,0.9452,-0.0968,0.0009,True,,,,,,,,,,,,,True,True,False
S134,CC(=O)C1=CC=C2C=CC=C3C=CC=C1N23,pollice_heptazine_deriv,pollice,source,1.3032,1.4215,-0.1183,0.0007,True,,,,,,,,,,,,,True,False,False
S135,CS(=O)C1=CC2=CC=CC3=CC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,1.0128,1.1453,-0.1326,0.0001,True,,,,,,,,,,,,,True,False,False
S136,CS(=O)C1=CC=C2C=CC=C3C=CC=C1N23,pollice_heptazine_deriv,pollice,source,1.1024,1.2635,-0.1611,0.0002,True,,,,,,,,,,,,,True,False,False
S137,[O-][N+](=O)C1=CC2=CC=CC3=CC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,0.8628,0.9383,-0.0755,0.0008,True,,,,,,,,,,,,,True,True,False
S138,[O-][N+](=O)C1=CC=C2C=CC=C3C=CC=C1N23,pollice_heptazine_deriv,pollice,source,1.3637,1.4659,-0.1022,0.0006,True,,,,,,,,,,,,,True,False,False
S139,FC(F)(F)C1=CC2=CC=CC3=CC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,0.963,1.0968,-0.1338,0.0003,True,,,,,,,,,,,,,True,False,False
S140,C1=C(C2=CC=CC3=CC=CC(=C1)N23)C(F)(F)F,pollice_heptazine_deriv,pollice,source,1.1631,1.3178,-0.1547,0.0002,True,,,,,,,,,,,,,True,False,False
