name,SMILES,canonical_SMILES,core_type,fosc,DEST_eV,DEST_raw_eV,MW,source,method,is_INVEST
O23_KOHZUD,[NH2+]=C(NCCCc1ccccc1)P(=[Se])([Se-])c1ccccc1,[NH2+]=C(NCCCc1ccccc1)P(=[Se])([Se-])c1ccccc1,literature,,0.1710000009999999,0.1710000009999999,428.23600000000005,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KOHZOX,CN(CCc1ccccc1)C(=[NH2+])P(=[Se])([Se-])c1ccccc1,CN(CCc1ccccc1)C(=[NH2+])P(=[Se])([Se-])c1ccccc1,literature,,0.16100000100000011,0.16100000100000011,428.236,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KOHRUX,CC(C)P(=[Se])(C(C)C)c1c(cccc1c1c(C)cccc1C)c1c(C)cccc1C,Cc1cccc(C)c1-c1cccc(-c2c(C)cccc2C)c1P(=[Se])(C(C)C)C(C)C,literature,,0.1572000010000001,0.1572000010000001,481.5220000000003,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KOGRIH,C[S+](C)C(CS(=O)(=O)[O-])c1ccccc1,C[S+](C)C(CS(=O)(=O)[O-])c1ccccc1,literature,,0.020900001000000223,0.020900001000000223,246.353,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KOGRED,C[S+](C)C(=CS(=O)(=O)[O-])c1ccccc1,C[S+](C)C(=CS(=O)(=O)[O-])c1ccccc1,literature,,0.11110000100000006,0.11110000100000006,244.337,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KUDWOV,CC(C)N(B1C=CB(N(C(C)C)C(C)C)P1c1c(cc(cc1C(C)(C)C)C(C)(C)C)C(C)(C)C)C(C)C,CC(C)N(B1C=CB(N(C(C)C)C(C)C)P1c1c(C(C)(C)C)cc(C(C)(C)C)cc1C(C)(C)C)C(C)C,literature,,0.27200000199999996,0.27200000199999996,524.4360000000004,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KUCKOJ,[NH3+]CC1(CCC(CC1)C(C)(C)C)CC(=O)[O-],CC(C)(C)C1CCC(C[NH3+])(CC(=O)[O-])CC1,literature,,0.034900000000000375,0.034900000000000375,227.34799999999996,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KUBPOM,O=N(=O)N1CCCNC1=C(N(=O)=O)N(=O)=O,O=[N+]([O-])C(=C1NCCCN1[N+](=O)[O-])[N+](=O)[O-],literature,,0.16259999999999986,0.16259999999999986,233.14,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KOZNAQ,C1CSC2=C(S1)SC(S2)=C1SC2=C(S1)SC(S2)=C1SC2=C(SCS2)S1,C1CSC2=C(S1)SC(=C1SC3=C(S1)SC(=C1SC4=C(SCS4)S1)S3)S2,literature,,1.3378445010000002,0.2588000020000001,546.9950000000001,Omar2023_JACS,"CASSCF(8,8)/6-31G*",False
O23_KOZMUJ,C1CSC2=C(S1)SC(S2)=C1SC2=C(S1)SC(S2)=C1SC2=C(SCCS2)S1,C1CSC2=C(S1)SC(=C1SC3=C(S1)SC(=C1SC4=C(SCCS4)S1)S3)S2,literature,,0.296013227,0.23770000199999997,561.0220000000002,Omar2023_JACS,"CASSCF(8,8)/6-31G*",False
O23_KOYPOF,O=S(=O)([O-])c1ccc(C[PH+](C23CC4CC(CC(C4)C2)C3)C23CC4CC(CC(C4)C2)C3)cc1,O=S(=O)([O-])c1ccc(C[PH+](C23CC4CC(CC(C4)C2)C3)C23CC4CC(CC(C4)C2)C3)cc1,literature,,0.08030000000000026,0.08030000000000026,472.63100000000037,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KOYMOC,C1CSC2=C(S1)SC(S2)=C1SC2=C(S1)SC(S2)=C1SC2=C(SC=CS2)S1,C1=CSC2=C(S1)SC(=C1SC3=C(S1)SC(=C1SC4=C(SCCS4)S1)S3)S2,literature,,1.646632791,0.2363000009999996,559.0060000000001,Omar2023_JACS,"CASSCF(8,8)/6-31G*",False
O23_KOYMES,S1C=CSC2=C1SC(S2)=C1SC2=C(S1)SC(S2)=C1SC2=C(SC=CS2)S1,C1=CSC2=C(S1)SC(=C1SC3=C(S1)SC(=C1SC4=C(SC=CS4)S1)S3)S2,literature,,1.1623116039999997,0.24400000199999994,556.9900000000001,Omar2023_JACS,"CASSCF(8,8)/6-31G*",False
O23_KOWXID,C[S+](C)C1(CCC1)CS(=O)(=O)[O-],C[S+](C)C1(CS(=O)(=O)[O-])CCC1,literature,,0.019300000000000317,0.019300000000000317,210.32,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KOWNER,COc1ccc(NC(=[Se])NC(=O)c2ccc(F)cc2)cc1,COc1ccc(NC(=[Se])NC(=O)c2ccc(F)cc2)cc1,literature,,0.23540000100000036,0.23540000100000036,351.23900000000003,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KOWFUA,Cc1ccc(cc1)S(=O)(=O)c1ccc(cc1)N1c2ccccc2C(C)(C)c2ccccc12,Cc1ccc(S(=O)(=O)c2ccc(N3c4ccccc4C(C)(C)c4ccccc43)cc2)cc1,literature,,0.06870000099999984,0.06870000099999984,439.5800000000002,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KOVCOQ,O=C(c1ccc(cc1)N1c2ccccc2Oc2ccccc12)c1cccc(n1)C(=O)c1ccc(cc1)N1c2ccccc2Oc2ccccc12,O=C(c1ccc(N2c3ccccc3Oc3ccccc32)cc1)c1cccc(C(=O)c2ccc(N3c4ccccc4Oc4ccccc43)cc2)n1,literature,,0.26000000199999995,0.26000000199999995,649.7060000000002,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KOSKOV,CC1=CC(=C(C(C)=NN=C(C)C2=C(O)C=C(C)OC2=O)C(=O)O1)O,CC(=NN=C(C)c1c(O)cc(C)oc1=O)c1c(O)cc(C)oc1=O,literature,,0.21190000200000014,0.21190000200000014,332.31200000000007,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
